Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/03/2025,15:59,24/03/2025,17:11,01:12,WP3
102,24/03/2025,20:45,24/03/2025,22:57,02:12,"WP17, WP8"
103,24/03/2025,04:48,24/03/2025,05:24,00:36,WP11
104,24/03/2025,02:51,24/03/2025,20:15,17:24,"WP21, WP8, WP21, WP19"
105,24/03/2025,04:19,24/03/2025,07:55,03:36,WP22
106,24/03/2025,19:11,24/03/2025,20:23,01:12,WP10
107,24/03/2025,10:16,24/03/2025,11:28,01:12,WP9
108,24/03/2025,14:56,24/03/2025,23:20,08:24,"WP1, WP23, WP17"
109,24/03/2025,05:39,24/03/2025,08:39,03:00,"WP8, WP16, WP2"
110,24/03/2025,21:32,25/03/2025,06:08,08:36,"WP7, WP10, WP12, WP23"
111,24/03/2025,00:34,24/03/2025,14:10,13:36,"WP20, WP16, WP23"
112,24/03/2025,00:18,24/03/2025,05:06,04:48,WP24
113,24/03/2025,17:36,24/03/2025,23:00,05:24,"WP6, WP24"
114,24/03/2025,09:46,24/03/2025,11:22,01:36,WP15
115,24/03/2025,03:20,24/03/2025,04:32,01:12,WP13
116,24/03/2025,20:26,25/03/2025,04:14,07:48,"WP19, WP6"
117,24/03/2025,06:23,24/03/2025,07:11,00:48,WP12
118,24/03/2025,14:22,24/03/2025,15:10,00:48,WP5
119,24/03/2025,07:43,24/03/2025,09:07,01:24,"WP4, WP1"
120,24/03/2025,01:16,24/03/2025,04:40,03:24,"WP18, WP14, WP11"
