Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,22/06/2025,22:01,22/06/2025,22:49,00:48,WP5
102,22/06/2025,17:04,23/06/2025,01:28,08:24,"WP21, WP15, WP13, WP5"
103,22/06/2025,14:44,22/06/2025,16:20,01:36,WP15
104,22/06/2025,05:26,22/06/2025,06:02,00:36,WP11
105,22/06/2025,07:34,22/06/2025,09:10,01:36,WP18
106,22/06/2025,20:56,23/06/2025,06:56,10:00,"WP17, WP14, WP19"
107,22/06/2025,23:26,23/06/2025,16:26,17:00,"WP12, WP2, WP19, WP11, WP23, WP17"
108,22/06/2025,19:50,22/06/2025,22:50,03:00,"WP2, WP2, WP11, WP1"
109,22/06/2025,05:01,22/06/2025,05:37,00:36,WP4
110,22/06/2025,19:47,22/06/2025,20:35,00:48,WP1
111,22/06/2025,19:03,23/06/2025,09:39,14:36,"WP3, WP8, WP7, WP22, WP12, WP4, WP20, WP4, WP7"
112,22/06/2025,11:41,22/06/2025,18:41,07:00,"WP16, WP4, WP14, WP18, WP1, WP13"
113,22/06/2025,09:46,22/06/2025,12:10,02:24,"WP14, WP9"
114,22/06/2025,13:39,22/06/2025,14:51,01:12,WP9
115,22/06/2025,22:09,23/06/2025,07:45,09:36,"WP22, WP20"
116,22/06/2025,10:40,22/06/2025,17:52,07:12,"WP8, WP20, WP7"
117,22/06/2025,22:10,23/06/2025,04:10,06:00,WP23
118,22/06/2025,00:33,22/06/2025,05:57,05:24,"WP24, WP4"
119,22/06/2025,05:44,22/06/2025,06:20,00:36,WP6
120,22/06/2025,00:22,22/06/2025,03:10,02:48,"WP10, WP15"
