Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/03/2025,04:59,24/03/2025,08:35,03:36,WP22
102,24/03/2025,13:20,24/03/2025,15:44,02:24,"WP18, WP12"
103,24/03/2025,19:12,24/03/2025,20:00,00:48,WP5
104,24/03/2025,21:40,24/03/2025,22:52,01:12,WP13
105,24/03/2025,10:54,24/03/2025,12:06,01:12,WP14
106,24/03/2025,10:27,24/03/2025,18:15,07:48,"WP4, WP10, WP23"
107,24/03/2025,04:29,24/03/2025,05:41,01:12,WP9
108,24/03/2025,18:14,24/03/2025,23:02,04:48,WP21
109,24/03/2025,22:28,25/03/2025,13:16,14:48,"WP20, WP16, WP24, WP16, WP12"
110,24/03/2025,14:13,24/03/2025,15:49,01:36,WP15
111,24/03/2025,17:30,25/03/2025,02:18,08:48,"WP16, WP19"
112,24/03/2025,20:03,25/03/2025,06:51,10:48,"WP24, WP14, WP24"
113,24/03/2025,09:15,24/03/2025,10:03,00:48,WP2
114,24/03/2025,18:47,25/03/2025,02:23,07:36,"WP23, WP15"
115,24/03/2025,05:57,24/03/2025,10:09,04:12,"WP1, WP9, WP11, WP17"
116,24/03/2025,22:23,25/03/2025,08:59,10:36,"WP8, WP17, WP3, WP23, WP14"
117,24/03/2025,22:42,24/03/2025,23:30,00:48,WP12
118,24/03/2025,17:02,25/03/2025,03:26,10:24,"WP3, WP19, WP6, WP11, WP1"
119,24/03/2025,22:56,25/03/2025,00:32,01:36,WP17
120,24/03/2025,20:33,24/03/2025,21:57,01:24,"WP7, WP2"
