Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,23/02/2025,05:20,23/02/2025,06:32,01:12,WP10
102,23/02/2025,13:29,24/02/2025,09:17,19:48,"WP24, WP8, WP5, WP20, WP2, WP21, WP12, WP14"
103,23/02/2025,13:30,23/02/2025,14:18,00:48,WP12
104,23/02/2025,16:03,23/02/2025,21:39,05:36,"WP9, WP22, WP12"
105,23/02/2025,19:52,24/02/2025,01:16,05:24,"WP7, WP24"
106,23/02/2025,10:05,23/02/2025,18:53,08:48,"WP23, WP18, WP10"
107,23/02/2025,23:49,24/02/2025,01:25,01:36,WP15
108,23/02/2025,18:13,24/02/2025,01:25,07:12,"WP6, WP8, WP21, WP10"
109,23/02/2025,15:11,23/02/2025,15:47,00:36,WP8
110,23/02/2025,06:13,23/02/2025,13:01,06:48,"WP22, WP16, WP17"
111,23/02/2025,21:35,24/02/2025,02:59,05:24,"WP13, WP8, WP22"
112,23/02/2025,18:48,23/02/2025,20:24,01:36,WP18
113,23/02/2025,14:34,23/02/2025,19:22,04:48,WP21
114,23/02/2025,10:36,23/02/2025,12:12,01:36,WP16
115,23/02/2025,17:32,23/02/2025,18:20,00:48,WP1
116,23/02/2025,00:46,23/02/2025,07:58,07:12,WP19
117,23/02/2025,11:15,23/02/2025,19:03,07:48,"WP11, WP19"
118,23/02/2025,22:04,24/02/2025,04:16,06:12,"WP14, WP2, WP5, WP3, WP4, WP18"
119,23/02/2025,22:29,24/02/2025,00:53,02:24,"WP3, WP13"
120,23/02/2025,03:18,23/02/2025,04:06,00:48,WP5
