Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,01/10/2025,19:19,01/10/2025,21:43,02:24,"WP10, WP10"
102,01/10/2025,22:16,02/10/2025,11:28,13:12,"WP24, WP19, WP9"
103,01/10/2025,23:16,02/10/2025,06:52,07:36,"WP12, WP5, WP23"
104,01/10/2025,21:48,02/10/2025,06:48,09:00,"WP13, WP15, WP6, WP5, WP24"
105,01/10/2025,07:10,01/10/2025,11:58,04:48,"WP9, WP22"
106,01/10/2025,21:20,02/10/2025,07:32,10:12,"WP11, WP16, WP19, WP2"
107,01/10/2025,18:03,02/10/2025,00:03,06:00,WP23
108,01/10/2025,19:00,02/10/2025,02:36,07:36,"WP20, WP16"
109,01/10/2025,04:14,01/10/2025,05:26,01:12,WP3
110,01/10/2025,16:53,02/10/2025,01:41,08:48,"WP16, WP11, WP7, WP20"
111,01/10/2025,05:21,01/10/2025,12:33,07:12,"WP4, WP10, WP6, WP21"
112,01/10/2025,10:46,01/10/2025,11:22,00:36,WP7
113,01/10/2025,12:22,01/10/2025,20:46,08:24,"WP21, WP22"
114,01/10/2025,08:38,01/10/2025,09:50,01:12,WP14
115,01/10/2025,19:18,01/10/2025,19:54,00:36,WP6
116,01/10/2025,21:11,01/10/2025,22:47,01:36,WP18
117,01/10/2025,23:47,02/10/2025,06:23,06:36,"WP8, WP23"
118,01/10/2025,05:02,01/10/2025,09:26,04:24,"WP22, WP1"
119,01/10/2025,23:22,02/10/2025,00:58,01:36,WP17
120,01/10/2025,21:47,01/10/2025,23:47,02:00,"WP5, WP14"
