Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,04/07/2025,10:07,04/07/2025,22:07,12:00,"WP4, WP6, WP21, WP20"
102,04/07/2025,22:45,05/07/2025,14:33,15:48,"WP19, WP11, WP15, WP24, WP16"
103,04/07/2025,13:59,04/07/2025,17:11,03:12,"WP18, WP17"
104,04/07/2025,00:36,04/07/2025,07:24,06:48,"WP8, WP16, WP18, WP4, WP2, WP17"
105,04/07/2025,11:10,04/07/2025,15:34,04:24,"WP17, WP16, WP13"
106,04/07/2025,10:15,04/07/2025,11:51,01:36,WP16
107,04/07/2025,19:14,04/07/2025,20:02,00:48,WP12
108,04/07/2025,22:29,05/07/2025,00:29,02:00,"WP5, WP14"
109,04/07/2025,19:39,05/07/2025,05:39,10:00,"WP14, WP15, WP19"
110,04/07/2025,16:14,04/07/2025,21:02,04:48,WP21
111,04/07/2025,02:53,04/07/2025,13:53,11:00,"WP22, WP12, WP2, WP22, WP11, WP15"
112,04/07/2025,06:35,04/07/2025,18:35,12:00,"WP3, WP9, WP23, WP22"
113,04/07/2025,11:36,04/07/2025,19:00,07:24,"WP6, WP20, WP2"
114,04/07/2025,08:42,04/07/2025,10:06,01:24,"WP1, WP4"
115,04/07/2025,02:52,04/07/2025,04:40,01:48,"WP11, WP3"
116,04/07/2025,20:39,04/07/2025,21:27,00:48,WP2
117,04/07/2025,18:04,04/07/2025,22:16,04:12,"WP7, WP22"
118,04/07/2025,05:43,04/07/2025,06:55,01:12,WP13
119,04/07/2025,16:02,04/07/2025,17:14,01:12,WP10
120,04/07/2025,17:08,04/07/2025,23:08,06:00,WP20
