Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,19/12/2025,00:50,19/12/2025,01:26,00:36,WP6
102,19/12/2025,19:26,19/12/2025,20:38,01:12,WP13
103,19/12/2025,06:02,19/12/2025,10:50,04:48,WP21
104,19/12/2025,00:02,19/12/2025,06:38,06:36,"WP8, WP23"
105,19/12/2025,07:11,19/12/2025,12:47,05:36,"WP17, WP15, WP9, WP4, WP4"
106,19/12/2025,06:33,19/12/2025,18:33,12:00,"WP23, WP20"
107,19/12/2025,21:47,20/12/2025,06:47,09:00,"WP19, WP4, WP9"
108,19/12/2025,04:47,19/12/2025,15:11,10:24,"WP14, WP16, WP23, WP15"
109,19/12/2025,00:22,19/12/2025,02:46,02:24,"WP18, WP1"
110,19/12/2025,19:30,19/12/2025,20:18,00:48,WP5
111,19/12/2025,00:09,19/12/2025,01:45,01:36,WP16
112,19/12/2025,12:09,19/12/2025,18:57,06:48,"WP1, WP4, WP21, WP11"
113,19/12/2025,10:08,19/12/2025,18:20,08:12,"WP7, WP9, WP18, WP21"
114,19/12/2025,10:46,19/12/2025,15:34,04:48,WP24
115,19/12/2025,23:09,20/12/2025,06:33,07:24,"WP3, WP5, WP4, WP10, WP22"
116,19/12/2025,19:25,20/12/2025,01:25,06:00,WP20
117,19/12/2025,12:41,19/12/2025,14:29,01:48,"WP11, WP14"
118,19/12/2025,00:32,19/12/2025,06:44,06:12,"WP22, WP10, WP7, WP1"
119,19/12/2025,21:47,19/12/2025,22:35,00:48,WP2
120,19/12/2025,01:21,19/12/2025,09:09,07:48,"WP12, WP15, WP6, WP24"
